date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:45	2960/2960	---M--	200	added ('OK')	image/png	etag:%22b90-5cd07b4b92dd7%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap4.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap4.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:46	6445/6445	---M--	200	added ('OK')	image/png	etag:%22192d-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-3-shap1.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-3-shap1.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:48	64464/64464	---M--	200	added ('OK')	image/png	etag:%22fbd0-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-3-shap-2.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-3-shap-2.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:51	208822/208822	---M--	200	added ('OK')	image/png	etag:%2232fb6-5cd080f89c0ed%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/organic-product/01.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/organic-product/01.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:52	145328/145328	---M--	200	added ('OK')	image/gif	etag:%22237b0-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/loader.gif	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/loader.gif	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:53	14521/14521	---M--	200	added ('OK')	image/png	etag:%2238b9-5cd080f8849ec%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/shap-9.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/shap-9.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:53	263417/263417	---M--	200	added ('OK')	image/png	etag:%22404f9-5cd080f89b14d%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/feature-product/01.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/feature-product/01.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:53	111350/111350	---M--	200	added ('OK')	image/png	etag:%221b2f6-5cd07b4b93d77%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-img-2.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-img-2.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:54	2480/2480	---M--	200	added ('OK')	image/png	etag:%229b0-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/03.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/03.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:54	50142/50142	---M--	200	added ('OK')	image/jpeg	etag:%22c3de-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/01.jpg	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/01.jpg	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
